anio,establecimiento,rbd,prueba,promedio,NOM_RBD,LATITUD,LONGITUD
2025,"Escuela Rural Estacion Nuevo Porvenir
Rama",7459,Lenguaje,569.0,ESCUELA RURAL ESTACION NUEVO PORVENIR,"-40,693829","-72,606903"
2025,"Escuela Rural Estacion Nuevo Porvenir
Rama",7459,M1,476.0,ESCUELA RURAL ESTACION NUEVO PORVENIR,"-40,693829","-72,606903"
2025,"Escuela Rural Estacion Nuevo Porvenir
Rama",7459,M2,0.0,ESCUELA RURAL ESTACION NUEVO PORVENIR,"-40,693829","-72,606903"
2025,"Escuela Rural Estacion Nuevo Porvenir
Rama",7459,Historia,557.0,ESCUELA RURAL ESTACION NUEVO PORVENIR,"-40,693829","-72,606903"
2025,"Escuela Rural Estacion Nuevo Porvenir
Rama",7459,Ciencias,0.0,ESCUELA RURAL ESTACION NUEVO PORVENIR,"-40,693829","-72,606903"
2025,"Escuela Rural Estacion Nuevo Porvenir
Rama",7459,Obligatoria,522.5,ESCUELA RURAL ESTACION NUEVO PORVENIR,"-40,693829","-72,606903"
2025,"Liceo Jose Toribio Medina
Rama",7542,Lenguaje,562.3,LICEO JOSE TORIBIO MEDINA,"-40,790031","-73,213387"
2025,"Liceo Jose Toribio Medina
Rama",7542,M1,499.0,LICEO JOSE TORIBIO MEDINA,"-40,790031","-73,213387"
2025,"Liceo Jose Toribio Medina
Rama",7542,M2,0.0,LICEO JOSE TORIBIO MEDINA,"-40,790031","-73,213387"
2025,"Liceo Jose Toribio Medina
Rama",7542,Historia,524.8,LICEO JOSE TORIBIO MEDINA,"-40,790031","-73,213387"
2025,"Liceo Jose Toribio Medina
Rama",7542,Ciencias,0.0,LICEO JOSE TORIBIO MEDINA,"-40,790031","-73,213387"
2025,"Liceo Jose Toribio Medina
Rama",7542,Obligatoria,530.6,LICEO JOSE TORIBIO MEDINA,"-40,790031","-73,213387"
2025,"Escuela De Adultos Reloncavi
Rama",7624,Lenguaje,541.7,ESCUELA DE ADULTOS RELONCAVI,"-41,3874151","-72,897395"
2025,"Escuela De Adultos Reloncavi
Rama",7624,M1,513.0,ESCUELA DE ADULTOS RELONCAVI,"-41,3874151","-72,897395"
2025,"Escuela De Adultos Reloncavi
Rama",7624,M2,383.5,ESCUELA DE ADULTOS RELONCAVI,"-41,3874151","-72,897395"
2025,"Escuela De Adultos Reloncavi
Rama",7624,Historia,484.0,ESCUELA DE ADULTOS RELONCAVI,"-41,3874151","-72,897395"
2025,"Escuela De Adultos Reloncavi
Rama",7624,Ciencias,417.7,ESCUELA DE ADULTOS RELONCAVI,"-41,3874151","-72,897395"
2025,"Escuela De Adultos Reloncavi
Rama",7624,Obligatoria,527.3,ESCUELA DE ADULTOS RELONCAVI,"-41,3874151","-72,897395"
2025,"Liceo Polivalente De Ancud
Rama",8044,Lenguaje,460.1,LICEO POLIVALENTE DE ANCUD,"-41,866901","-73,817543"
2025,"Liceo Polivalente De Ancud
Rama",8044,M1,508.4,LICEO POLIVALENTE DE ANCUD,"-41,866901","-73,817543"
2025,"Liceo Polivalente De Ancud
Rama",8044,M2,347.0,LICEO POLIVALENTE DE ANCUD,"-41,866901","-73,817543"
2025,"Liceo Polivalente De Ancud
Rama",8044,Historia,360.0,LICEO POLIVALENTE DE ANCUD,"-41,866901","-73,817543"
2025,"Liceo Polivalente De Ancud
Rama",8044,Ciencias,363.3,LICEO POLIVALENTE DE ANCUD,"-41,866901","-73,817543"
2025,"Liceo Polivalente De Ancud
Rama",8044,Obligatoria,488.9,LICEO POLIVALENTE DE ANCUD,"-41,866901","-73,817543"
2025,"Escuela Puqueldon
Rama",8195,Lenguaje,631.0,ESCUELA PUQUELDON,"-42,602039","-73,671967"
